"GEOID","total_pop","pct_male","pct_female","pct_5-","pct_5-9","pct_10-14","pct_15-19","pct_20-24","pct_25-34","pct_35-44","pct_45-54","pct_55-59","pct_60-64","pct_65-74","pct_75-84","pct_85+","white","black","asian","hispanic","unemp_rate","work_from_home","mean_travel_time_to_work","median_household_income","bachelor+_18-24","bachelor+_25+","below_poverty","pct_0-19","pct_20-44","pct_45-64","pct_65+","bachelor+"
"01001",55639,48.6,51.4,5.8,6.7,6.6,6.7,6.2,12.7,13.1,14.0,7.4,5.5,8.9,4.6,1.7,75.8,19.5,1.2,2.9,2.9,1.7146246338000322,25.4,57982,612,10721,15.086540016894626,25.8,32.0,26.9,15.2,20.36880605330793
"01003",218289,48.5,51.5,5.5,5.3,6.9,6.0,5.1,11.2,12.1,13.1,7.0,7.4,12.3,6.3,1.9,85.4,8.8,0.9,4.6,3.9,2.8627186894438106,26.0,61756,1360,49636,9.042599489667367,23.700000000000003,28.4,27.5,20.5,23.361690236338063
"01005",25026,52.6,47.4,5.3,6.2,5.7,5.5,6.1,14.6,12.2,12.5,6.4,6.4,11.4,5.7,1.9,46.3,47.7,0.5,4.4,6.9,0.6073683369295932,25.5,34990,84,2067,25.221769359865743,22.7,32.9,25.299999999999997,19.0,8.595061136418124
"01007",22374,53.7,46.3,5.6,5.3,5.4,6.5,5.8,14.5,13.8,14.0,6.7,6.0,9.7,5.3,1.5,76.6,22.5,0.3,2.7,7.4,1.2916778403504068,30.3,51721,24,1814,16.782872977563244,22.799999999999997,34.1,26.7,16.5,8.214892285688746
"01009",57755,49.7,50.3,6.1,6.0,7.1,6.4,5.5,11.9,12.2,13.2,6.8,6.8,10.4,5.4,2.2,94.0,1.4,0.4,9.3,5.2,0.8033936455718119,34.5,48922,127,5276,13.586702450004328,25.6,29.599999999999998,26.8,18.0,9.355034196173492
"01011",10173,54.8,45.2,5.8,5.7,7.2,9.9,4.7,10.7,11.7,14.4,5.3,8.4,10.0,4.5,1.7,26.2,68.6,1.3,8.1,3.4,0.3735377961270029,30.7,33866,44,697,28.162783839575344,28.6,27.099999999999998,28.1,16.2,7.283987024476556
"01013",19726,45.9,54.1,5.9,6.0,6.6,6.0,5.5,11.7,12.6,11.0,7.3,6.8,12.4,6.0,2.4,51.6,44.6,1.3,1.5,6.5,1.0189597485552064,25.9,44850,52,2205,19.243637838385887,24.5,29.799999999999997,25.1,20.799999999999997,11.441752002433336
"01015",114324,48.0,52.0,5.8,5.9,6.1,6.7,6.4,13.2,11.9,12.4,6.7,7.2,10.6,5.4,1.7,73.3,21.2,0.8,3.9,7.3,1.0251565725481964,24.3,50128,849,14890,15.35635562086701,24.499999999999996,31.5,26.3,17.7,13.76701305062804
"01017",33427,47.7,52.3,5.9,5.3,6.0,5.3,6.4,12.6,11.1,13.4,7.7,6.7,11.9,5.9,1.8,56.9,40.0,1.1,2.5,3.6,0.7778143416998234,23.2,43875,89,3433,15.14344691417118,22.5,30.1,27.8,19.6,10.536392736410686
"01019",26035,49.5,50.5,4.3,5.1,6.1,5.7,5.3,9.8,11.0,14.0,8.1,7.7,13.7,7.1,2.2,92.1,4.8,0.1,1.7,4.1,0.8181294411369311,29.8,42509,59,2476,12.759746495102748,21.2,26.1,29.8,22.999999999999996,9.736892644516997
